band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
10,60,30.0,5,1.0,0.6
10,70,,5,1.0,0.6
10,60,10.0,10,0.9874476987447699,0.6
10,50,30.0,5,1.0,0.6
10,50,20.0,5,1.0,0.6
10,60,40.0,5,1.0,0.6
10,20,30.0,10,0.9665271966527197,0.5916666666666667
10,30,30.0,5,0.9937238493723849,0.5916666666666667
10,50,10.0,2,1.0,0.5916666666666667
10,30,10.0,10,0.9769874476987448,0.5916666666666667
10,30,,5,0.9937238493723849,0.5916666666666667
10,20,40.0,10,0.9665271966527197,0.5916666666666667
10,70,10.0,5,0.9937238493723849,0.5916666666666667
10,20,20.0,10,0.9665271966527197,0.5916666666666667
10,40,,5,0.99581589958159,0.5916666666666667
10,20,,10,0.9665271966527197,0.5916666666666667
10,60,10.0,5,0.99581589958159,0.5916666666666667
10,100,10.0,5,0.997907949790795,0.5916666666666667
10,50,30.0,10,0.9811715481171548,0.5916666666666667
10,60,,10,0.9874476987447699,0.5916666666666667
10,30,40.0,5,0.9937238493723849,0.5916666666666667
10,30,20.0,5,0.9937238493723849,0.5916666666666667
10,60,20.0,10,0.9874476987447699,0.5916666666666667
10,40,30.0,5,0.99581589958159,0.5916666666666667
10,50,,10,0.9811715481171548,0.5916666666666667
10,50,10.0,10,0.9811715481171548,0.5916666666666667
10,60,40.0,10,0.9874476987447699,0.5916666666666667
10,40,40.0,5,0.99581589958159,0.5916666666666667
10,40,20.0,5,0.99581589958159,0.5916666666666667
10,60,30.0,10,0.9874476987447699,0.5916666666666667
10,50,40.0,10,0.9811715481171548,0.5916666666666667
10,50,20.0,10,0.9811715481171548,0.5916666666666667
10,80,10.0,5,0.9937238493723849,0.5833333333333334
10,80,40.0,10,0.9853556485355649,0.5833333333333334
10,80,30.0,10,0.9853556485355649,0.5833333333333334
10,50,10.0,5,0.9937238493723849,0.5833333333333334
10,70,20.0,10,0.9853556485355649,0.5833333333333334
10,70,,10,0.9853556485355649,0.5833333333333334
10,70,30.0,10,0.9853556485355649,0.5833333333333334
10,80,20.0,10,0.9853556485355649,0.5833333333333334
10,70,40.0,10,0.9853556485355649,0.5833333333333334
10,20,10.0,10,0.9707112970711297,0.5833333333333334
10,80,,10,0.9853556485355649,0.5833333333333334
10,10,30.0,5,0.9853556485355649,0.5583333333333333
10,10,40.0,5,0.9853556485355649,0.5583333333333333
10,10,20.0,5,0.9853556485355649,0.5583333333333333
10,10,10.0,2,0.9874476987447699,0.5583333333333333
10,10,,5,0.9853556485355649,0.5583333333333333
10,10,10.0,10,0.9267782426778243,0.5416666666666666
10,10,20.0,10,0.9288702928870293,0.5333333333333333
10,10,40.0,10,0.9288702928870293,0.5333333333333333
10,10,10.0,5,0.9707112970711297,0.5333333333333333
10,10,,10,0.9288702928870293,0.5333333333333333
10,10,30.0,10,0.9288702928870293,0.5333333333333333
